

Keyboard Example 
BREAK code: 0x9C - ENTER
MAKE code: 0x21 - f
BREAK code: 0xA1 - f
MAKE code: 0x03 - 2
BREAK code: 0x83 - 2
MAKE code: 0x3C - Not Def
BREAK code: 0xBC - Not Def
MAKE code: 0x3B - Not Def
BREAK code: 0xBB - Not Def
MAKE code: 0x3C - Not Def
BREAK code: 0xBC - Not Def
MAKE code: 0x3D - Not Def
BREAK code: 0xBD - Not Def
MAKE code: 0x3E - Not Def
BREAK code: 0xBE - Not Def
MAKE code: 0x20 - d
MAKE code: 0x1F - s
MAKE code: 0x21 - f
BREAK code: 0xA0 - d
BREAK code: 0x9F - s
MAKE code: 0x24 - j
MAKE code: 0x17 - i
BREAK code: 0xA4 - j
BREAK code: 0xA1 - f
MAKE code: 0x1F - s
MAKE code: 0x24 - j
BREAK code: 0x97 - i
MAKE code: 0x21 - f
BREAK code: 0x9F - s
BREAK code: 0xA4 - j
BREAK code: 0xA1 - f
MAKE code: 0x20 - d
MAKE code: 0x1F - s
MAKE code: 0x24 - j
MAKE code: 0x21 - f
BREAK code: 0x9F - s
BREAK code: 0xA0 - d
BREAK code: 0xA4 - j
BREAK code: 0xA1 - f
MAKE code: 0x18 - o
MAKE code: 0x25 - k
MAKE code: 0x20 - d
MAKE code: 0x1F - s
BREAK code: 0x98 - o
MAKE code: 0x18 - o
MAKE code: 0x19 - p
BREAK code: 0xA5 - k
MAKE code: 0x21 - f
MAKE code: 0x25 - k
BREAK code: 0x99 - p
BREAK code: 0x9F - s
BREAK code: 0x98 - o
BREAK code: 0xA0 - d
BREAK code: 0xA1 - f
BREAK code: 0xA5 - k
MAKE code: 0x32 - m
BREAK code: 0xB2 - m
MAKE code: 0x32 - m
BREAK code: 0xB2 - m
MAKE code: 0x32 - m
BREAK code: 0xB2 - m
MAKE code: 0x2F - v
MAKE code: 0x31 - n
BREAK code: 0xB1 - n
BREAK code: 0xAF - v
MAKE code: 0x31 - n
BREAK code: 0xB1 - n
MAKE code: 0x31 - n
BREAK code: 0xB1 - n
MAKE code: 0x31 - n
MAKE code: 0x2F - v
BREAK code: 0xB1 - n
MAKE code: 0x25 - k
MAKE code: 0x2D - x
BREAK code: 0xAF - v
MAKE code: 0x31 - n
BREAK code: 0xA5 - k
MAKE code: 0x25 - k
BREAK code: 0xAD - x
BREAK code: 0xB1 - n
BREAK code: 0xA5 - k
MAKE code: 0x25 - k
MAKE code: 0x26 - l
BREAK code: 0xA6 - l
BREAK code: 0xA5 - k
MAKE code: 0x32 - m
BREAK code: 0xB2 - m
MAKE code: 0x32 - m
